article_id,text
1,"Police have described a bottle attack on an 11-year-old Rangers fan before Sunday's League Cup semi-final game with Celtic as ""abhorrent""."
2,"The Afghan woman, whose striking green eyes in a National Geographic cover photo made her face known around the world, is under arrest in Pakistan. Sharbat Gula was 12 when photographer Steve McCurry captured his iconic image of her living in refugee camp for Afghan nationals in Peshawar, Pakistan."
3,"Two young girls, aged 10 and 13, were miraculously thrown to safety from the doomed Thunder River Rapids ride at Dreamworld on Australia's Gold Coast and watched in horror as the four adults in their raft were killed. A malfunction with the ride's conveyor belt is suspected to have caused the six-person raft to flip, crushing and drowning two men, aged 38 and 35, and two women, aged 42 and 32, about 2.20pm on Tuesday. Those killed include Canberra woman Kate Goodchild, 32, her brother Luke Dorsett, 35, his partner Roozi Araghi, 38, and another woman."
4,"Jules Wainstein's ex tried to pull a fast one by renting out an NYC apartment he had no business hawking because SHE owns it ... according to a new lawsuit, but he denies any wrongdoing."
5,"The latest lawsuit filed against a Tofino whale-watching tour company whose boat capsized last year, killing six people, paints a terrifying picture of the moments immediately after the vessel capsized."
6,"A few weeks ago, I scrambled to evacuate my area with the only five items I could grab—my phone, passport, water, money, medicine—in the 30 seconds before I had to flee. Many of the roughly 65 million refugees, asylum-seekers, and internally displaced people around the world today have had to make panicked choices"
7,"As 200 airstrikes hammered Aleppo last weekend, activists and aid workers posted dozens of pictures and videos online. Each of them heartbreaking, each helping to convey the horror of the besieged Syrian city."
8,Management and ownership at a Saskatoon dog kennel were warned about more than a dozen serious problems with their animal care methods in the months before this weekend’s death of 14 large breed dogs.
9,"A powerful 7.8 magnitude earthquake pummeled central New Zealand early on Monday, killing at least two people, damaging roads and buildings and setting off hundreds of strong aftershocks."
10,"One police officer was killed and another was wounded when they were “ambushed” while responding to a domestic dispute in western Pennsylvania, the authorities said on Thursday."
11,"India and Pakistan say 13 civilians have been killed in cross-border shelling from both sides of the Line of Control, the de facto border between the two countries in the disputed region of Kashmir."
12,"Police are investigating a crash involving a paratransit bus in Newark, Delaware. It happened before 8:30 a.m. Monday in the unit block of Red Mill Road. Video from the Action Cam showed the DART bus parked on the side of the road."
13,"At least 26 civilians were killed and many others injured in airstrikes early Thursday while NATO and ­Afghan forces were battling ­Taliban fighters in northern Kunduz province, Afghan officials and witnesses said. Two American service members also died in ground clashes there, U.S. military officials confirmed."
14,"Ten people, including two who were found Monday, have had fatal incidents inside the Eagle's Nest cave dive area in Western Florida since 1981. The Hernando County Sheriff's Office said Patrick Peacock and Chris Rittenmeyer went diving on Sunday afternoon with a third man, who reported the duo missing. Search and rescue divers found their bodies the next day in a ""very dangerous and complex area of the cave system,"" the sheriff's office said."
