,essay,empathy,distress,emotion,personality_conscientiousness,personality_openess,personality_extraversion,personality_agreeableness,personality_stability,iri_perspective_taking,iri_personal_distress,iri_fantasy,iri_empathatic_concern,demographic,demographic_essay
0,"It breaks my heart to see people living in those conditions. I hope that all the aid that was sent to the island makes it to the people who need it the most. I do not know what I would do it that was my family and I. I would hope that I would do my best, but I can see how depressing and hopeless you could feel having your whole life changed because of a storm and not knowing where your next meal is coming from.",6.833333333333333,6.625,Hope/Sadness,7.0,5.5,1.0,6.5,6.0,4.857,2.0,3.429,5.0,I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 35.,"I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 35. It breaks my heart to see people living in those conditions. I hope that all the aid that was sent to the island makes it to the people who need it the most. I do not know what I would do it that was my family and I. I would hope that I would do my best, but I can see how depressing and hopeless you could feel having your whole life changed because of a storm and not knowing where your next meal is coming from."
1,I wonder why there aren't more people trying to help these people. I understand Haiti is not the richest nor less corrupt country but surely there must be a way to help. Supplies being looted by crowds is understandable because they are hungry and people need food and water to survive. We must think of other ways to distribute the food and water.,5.833333333333333,6.0,Anger,5.5,5.0,2.0,5.5,4.5,3.429,2.857,2.857,2.714,I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 35.,I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 35. I wonder why there aren't more people trying to help these people. I understand Haiti is not the richest nor less corrupt country but surely there must be a way to help. Supplies being looted by crowds is understandable because they are hungry and people need food and water to survive. We must think of other ways to distribute the food and water.
2,"After reading the article, you can't help but feel really sad and terrible for the people that were affected by the hurricane. It was a situation that they did not deserve and one that they most likely did not cause but mother nature has other plans for us. I feel bad for all the children as well as animals that are there as well with no shelter or food.",1.0,1.375,Sadness,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 35.,"I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 35. After reading the article, you can't help but feel really sad and terrible for the people that were affected by the hurricane. It was a situation that they did not deserve and one that they most likely did not cause but mother nature has other plans for us. I feel bad for all the children as well as animals that are there as well with no shelter or food."
3,It is so sad that someone who had such an amazing story died in such a freak accident. His life was filled with amazing triumphs only for him to die in such a sad way. It is truly heart breaking to think about. He came from nothing and truly got the american dream. He died in such a rare and crazy way that it is so sad.,6.166666666666667,6.625,Sadness,6.0,6.0,5.0,4.5,3.5,5.0,4.143,4.857,5.0,I am female. My age is 28.0 years. My education level is Two year associate degree. My race is White. My income is 50000.0. I am writing with respect to article number 213.,I am female. My age is 28.0 years. My education level is Two year associate degree. My race is White. My income is 50000.0. I am writing with respect to article number 213. It is so sad that someone who had such an amazing story died in such a freak accident. His life was filled with amazing triumphs only for him to die in such a sad way. It is truly heart breaking to think about. He came from nothing and truly got the american dream. He died in such a rare and crazy way that it is so sad.
4,"From reading the article, it looks like the world lost a kindhearted and generous person. If no drugs or alcohol were involved in the accident. I wonder what happen to make them crash. I wonder if it was common to be on the boat with no life jacket. The life jacket may not even mattered because of the speed and the rocks.",6.833333333333333,1.0,Neutral,7.0,5.5,1.0,6.5,6.0,4.857,2.0,3.429,5.0,I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 213.,"I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 213. From reading the article, it looks like the world lost a kindhearted and generous person. If no drugs or alcohol were involved in the accident. I wonder what happen to make them crash. I wonder if it was common to be on the boat with no life jacket. The life jacket may not even mattered because of the speed and the rocks."
5,"That's sad.  Regardless of what they find out happened, who was controlling what or if they had drugs in their system or whatever, it's sad.  I don't know that they will find out anything, i just feel like lots of people will turn this into something it's not.  It's unfortunate anytime a young person like this, with the world at their fingertips, loses their life in something that was controllable.",1.6666666666666667,1.125,Sadness,3.5,2.5,2.0,4.5,5.0,3.571,2.286,1.857,2.0,I am male. My age is 31.0 years. My education level is Two year associate degree. My race is White. My income is 82000.0. I am writing with respect to article number 213.,"I am male. My age is 31.0 years. My education level is Two year associate degree. My race is White. My income is 82000.0. I am writing with respect to article number 213. That's sad.  Regardless of what they find out happened, who was controlling what or if they had drugs in their system or whatever, it's sad.  I don't know that they will find out anything, i just feel like lots of people will turn this into something it's not.  It's unfortunate anytime a young person like this, with the world at their fingertips, loses their life in something that was controllable."
6,"After reading the article, my reaction is that it is very sad that boys that young have to be put behind bars. I think that children should be able to experience their childhood and have fun at that age. They should not be facing hardships at all. They should be playing with friends and be in school at that age and not locked up behind a cell.",1.5,1.0,Sadness,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 78.,"I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 78. After reading the article, my reaction is that it is very sad that boys that young have to be put behind bars. I think that children should be able to experience their childhood and have fun at that age. They should not be facing hardships at all. They should be playing with friends and be in school at that age and not locked up behind a cell."
7,"It sounds like these boys had a really rough life.  I do think we all have personal responsibility for our choices at the end of the day though.  Even though you might have it rough, ultimately it is up to you to decide to break the law or use drugs or not.  So they had free will too and could have exercised that.  Regardless, it is still sad that they went through a rough childhood.  Nobody should have to endure that and kids are the saddest victims.",2.0,1.0,Sadness,7.0,3.5,6.5,5.5,6.5,3.429,2.714,2.571,3.857,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 78.,"I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 78. It sounds like these boys had a really rough life.  I do think we all have personal responsibility for our choices at the end of the day though.  Even though you might have it rough, ultimately it is up to you to decide to break the law or use drugs or not.  So they had free will too and could have exercised that.  Regardless, it is still sad that they went through a rough childhood.  Nobody should have to endure that and kids are the saddest victims."
8,"This is a tragic and sad story about how some children can experience the foster care system. Shelton bounced from one home to another, getting into trouble along the way, before beginning a life of crime and going to prison as a young adult and then as an adult. Given the way he was raised, it is almost impossible to imagine an alternate ending.",6.0,3.0,Sadness,7.0,4.5,1.5,7.0,7.0,4.286,1.286,3.857,4.0,I am female. My age is 33.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 110000.0. I am writing with respect to article number 78.,"I am female. My age is 33.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 110000.0. I am writing with respect to article number 78. This is a tragic and sad story about how some children can experience the foster care system. Shelton bounced from one home to another, getting into trouble along the way, before beginning a life of crime and going to prison as a young adult and then as an adult. Given the way he was raised, it is almost impossible to imagine an alternate ending."
9,"I find it disturbing that thousands of acres of forest land are destroyed to mining, foraging elephants attracted by the crops in the fields often enter villages, resulting in an alarmingly high number of human-elephant conflict situations. This shouldnt be. This is wrong. I mean the selfishness of some people shouldnt be a problem for all",6.666666666666667,6.25,Anger/Disgust,6.25,5.75,3.25,6.75,6.0,3.357,2.429,3.2145,3.4285,I am male. My age is 28.0 years. My education level is Postgradute or professional degree. My race is White. My income is 165000.0. I am writing with respect to article number 336.,"I am male. My age is 28.0 years. My education level is Postgradute or professional degree. My race is White. My income is 165000.0. I am writing with respect to article number 336. I find it disturbing that thousands of acres of forest land are destroyed to mining, foraging elephants attracted by the crops in the fields often enter villages, resulting in an alarmingly high number of human-elephant conflict situations. This shouldnt be. This is wrong. I mean the selfishness of some people shouldnt be a problem for all"
